run,experiment,parameter,variant,value,unit
1,sequential,32,read,20.26,GB/s
1,sequential,256,read,19.97,GB/s
1,sequential,4096,read,16.76,GB/s
1,sequential,65536,read,13.22,GB/s
1,chase,32,random,1.48,ns/hop
1,chase,256,random,4.85,ns/hop
1,chase,4096,random,19.19,ns/hop
1,chase,65536,random,115.82,ns/hop
1,counters,1,compact,135.3,M increments/s
1,counters,1,padded,144.6,M increments/s
1,counters,2,compact,73.3,M increments/s
1,counters,2,padded,297.3,M increments/s
1,counters,4,compact,51.5,M increments/s
1,counters,4,padded,361.8,M increments/s
2,sequential,32,read,20.42,GB/s
2,sequential,256,read,21.19,GB/s
2,sequential,4096,read,12.77,GB/s
2,sequential,65536,read,12.17,GB/s
2,chase,32,random,1.5,ns/hop
2,chase,256,random,4.71,ns/hop
2,chase,4096,random,16.85,ns/hop
2,chase,65536,random,116.32,ns/hop
2,counters,1,compact,136.0,M increments/s
2,counters,1,padded,155.5,M increments/s
2,counters,2,compact,71.4,M increments/s
2,counters,2,padded,282.2,M increments/s
2,counters,4,compact,51.1,M increments/s
2,counters,4,padded,621.3,M increments/s
3,sequential,32,read,20.83,GB/s
3,sequential,256,read,22.1,GB/s
3,sequential,4096,read,14.15,GB/s
3,sequential,65536,read,9.12,GB/s
3,chase,32,random,1.8,ns/hop
3,chase,256,random,4.83,ns/hop
3,chase,4096,random,27.43,ns/hop
3,chase,65536,random,116.05,ns/hop
3,counters,1,compact,135.2,M increments/s
3,counters,1,padded,151.1,M increments/s
3,counters,2,compact,50.2,M increments/s
3,counters,2,padded,310.3,M increments/s
3,counters,4,compact,60.6,M increments/s
3,counters,4,padded,610.6,M increments/s
